surface,generator,basis_id,coefficient_mod_31
Z_0,X,0,16
Z_0,X,1,22
Z_0,X,2,26
Z_0,X,3,2
Z_0,X,4,10
Z_0,X,5,27
Z_0,X,6,28
Z_0,X,7,29
Z_0,X,8,6
Z_0,X,9,12
Z_0,X,10,20
Z_0,X,11,27
Z_0,X,13,9
Z_0,X,14,13
Z_0,X,15,23
Z_0,X,16,18
Z_0,X,17,13
Z_0,X,18,18
Z_0,X,19,7
Z_0,X,20,22
Z_0,X,21,24
Z_0,X,22,17
Z_0,X,23,10
Z_0,X,24,19
Z_0,X,25,21
Z_0,X,26,16
Z_0,X,27,12
Z_0,X,28,14
Z_0,X,29,17
Z_0,X,30,20
Z_0,X,31,27
Z_0,X,32,26
Z_0,X,33,6
Z_0,X,34,18
Z_0,X,35,18
Z_0,X,36,16
Z_0,X,37,14
Z_0,X,38,18
Z_0,X,39,26
Z_0,X,40,8
Z_0,X,41,10
Z_0,X,42,28
Z_0,X,43,30
Z_0,X,44,8
Z_0,X,45,26
Z_0,X,46,10
Z_0,X,47,23
Z_0,X,48,21
Z_0,X,49,19
Z_0,X,50,23
Z_0,X,51,27
Z_0,X,52,12
Z_0,X,53,27
Z_0,X,54,28
Z_0,X,55,26
Z_0,X,56,12
Z_0,X,57,19
Z_0,X,58,10
Z_0,X,60,16
Z_0,X,61,5
Z_0,X,62,25
Z_0,X,63,12
Z_0,X,64,29
Z_0,X,65,13
Z_0,X,66,23
Z_0,X,67,28
Z_0,X,68,13
Z_0,X,69,16
Z_0,X,70,24
Z_0,X,71,6
Z_0,X,72,19
Z_0,X,73,11
Z_0,X,74,9
Z_0,X,75,4
Z_0,X,76,6
Z_0,X,77,18
Z_0,X,78,5
Z_0,X,79,15
Z_0,X,80,3
Z_0,X,81,29
Z_0,X,82,14
Z_0,X,83,6
Z_0,X,84,20
Z_0,X,85,29
Z_0,X,86,7
Z_0,X,87,7
Z_0,X,88,4
Z_0,X,89,2
Z_0,X,90,26
Z_0,X,91,27
Z_0,X,92,25
Z_0,X,93,29
Z_0,X,94,26
Z_0,X,95,30
