chart,bits_Z0_Y1,nonvanishing_coordinates,H_frame
C0000,0000,"Z,Z,Z,Z",Z_0*Z_1*Z_2*Z_3
C0001,0001,"Z,Z,Z,Y",Z_0*Z_1*Z_2*Y_3
C0010,0010,"Z,Z,Y,Z",Z_0*Z_1*Y_2*Z_3
C0011,0011,"Z,Z,Y,Y",Z_0*Z_1*Y_2*Y_3
C0100,0100,"Z,Y,Z,Z",Z_0*Y_1*Z_2*Z_3
C0101,0101,"Z,Y,Z,Y",Z_0*Y_1*Z_2*Y_3
C0110,0110,"Z,Y,Y,Z",Z_0*Y_1*Y_2*Z_3
C0111,0111,"Z,Y,Y,Y",Z_0*Y_1*Y_2*Y_3
C1000,1000,"Y,Z,Z,Z",Y_0*Z_1*Z_2*Z_3
C1001,1001,"Y,Z,Z,Y",Y_0*Z_1*Z_2*Y_3
C1010,1010,"Y,Z,Y,Z",Y_0*Z_1*Y_2*Z_3
C1011,1011,"Y,Z,Y,Y",Y_0*Z_1*Y_2*Y_3
C1100,1100,"Y,Y,Z,Z",Y_0*Y_1*Z_2*Z_3
C1101,1101,"Y,Y,Z,Y",Y_0*Y_1*Z_2*Y_3
C1110,1110,"Y,Y,Y,Z",Y_0*Y_1*Y_2*Z_3
C1111,1111,"Y,Y,Y,Y",Y_0*Y_1*Y_2*Y_3
