edge_id,source_chart,target_chart,changed_factor,H_frame_transition_source_to_target,2H_frame_transition_source_to_target,4H_frame_transition_source_to_target
0,C0000,C1000,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
1,C0000,C0100,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
2,C0000,C0010,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
3,C0000,C0001,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
4,C0001,C1001,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
5,C0001,C0101,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
6,C0001,C0011,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
7,C0010,C1010,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
8,C0010,C0110,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
9,C0010,C0011,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
10,C0011,C1011,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
11,C0011,C0111,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
12,C0100,C1100,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
13,C0100,C0110,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
14,C0100,C0101,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
15,C0101,C1101,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
16,C0101,C0111,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
17,C0110,C1110,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
18,C0110,C0111,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
19,C0111,C1111,0,Y_0/Z_0,(Y_0/Z_0)^2,(Y_0/Z_0)^4
20,C1000,C1100,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
21,C1000,C1010,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
22,C1000,C1001,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
23,C1001,C1101,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
24,C1001,C1011,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
25,C1010,C1110,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
26,C1010,C1011,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
27,C1011,C1111,1,Y_1/Z_1,(Y_1/Z_1)^2,(Y_1/Z_1)^4
28,C1100,C1110,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
29,C1100,C1101,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
30,C1101,C1111,2,Y_2/Z_2,(Y_2/Z_2)^2,(Y_2/Z_2)^4
31,C1110,C1111,3,Y_3/Z_3,(Y_3/Z_3)^2,(Y_3/Z_3)^4
