surface,surface_index,support_point_indices,K_lift_index,canonical_chart,canonical_chart_support_position,x_fixed_frame_coefficients,y_fixed_frame_coefficients,tangent_fixed_frame_coefficients,boundary_section_labels,delta0_mod_31,delta1_mod_31,delta_inverse0_mod_31,delta_inverse1_mod_31,residue_row_on_1_epsilon
Z_0,0,"[0, 0, 8, 5]",0,C1100,0,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",15,12,29,14,"[12, 15]"
Z_0,0,"[0, 1, 0, 5]",1,C1010,0,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",30,29,30,2,"[29, 30]"
Z_0,0,"[0, 2, 7, 5]",2,C1000,0,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",21,30,3,9,"[30, 21]"
Z_0,0,"[0, 7, 1, 33]",3,C1000,1,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",21,4,3,26,"[4, 21]"
Z_0,0,"[0, 8, 14, 9]",4,C1000,2,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",24,6,22,10,"[6, 24]"
Z_0,0,"[0, 14, 15, 33]",5,C1000,3,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",26,28,6,15,"[28, 26]"
Z_0,0,"[0, 15, 17, 9]",6,C1000,4,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",11,18,17,6,"[18, 11]"
Z_0,0,"[0, 16, 16, 33]",7,C1000,5,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",6,8,26,17,"[8, 6]"
Z_0,0,"[0, 17, 2, 9]",8,C1000,6,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",22,19,24,30,"[19, 22]"
Z_0,0,"[1, 0, 8, 33]",9,C0100,0,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 6, 2]","[5, 2]",21,18,3,24,"[18, 21]"
