job_id,source_K_index,target_K_index,generator,source_K_exponents,target_K_exponents,localized_overlap,source_frame_forms_in_base_1_u_v,target_frame_forms_in_base_1_u_v,normalized_H_scalar_mod_31,normalized_H_factor_circuit,normalized_O4H_scalar_mod_31,normalized_O4H_factor_circuit,whole_ring_J1_emitted,whole_ring_J2_emitted,whole_ring_lambda_correction_emitted,L0_A_source_equals_A_target_L1_certified
0,0,27,0,"[0, 0, 0, 0]","[1, 0, 0, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,0],[1,0,0],[1,0,0]]","[[1,0,1],[1,0,0],[1,0,0],[1,20,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
1,0,9,1,"[0, 0, 0, 0]","[0, 1, 0, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,0],[1,0,0],[1,0,0]]","[[1,20,14],[1,0,0],[30,28,11],[1,0,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
2,0,3,2,"[0, 0, 0, 0]","[0, 0, 1, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,0],[1,0,0],[1,0,0]]","[[1,0,0],[1,0,1],[30,28,11],[1,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
3,0,1,3,"[0, 0, 0, 0]","[0, 0, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,0],[1,0,0],[1,0,0]]","[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
4,1,28,0,"[0, 0, 0, 1]","[1, 0, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]","[[1,0,1],[1,20,14],[30,18,11],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
5,1,10,1,"[0, 0, 0, 1]","[0, 1, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]","[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
6,1,4,2,"[0, 0, 0, 1]","[0, 0, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]","[[1,0,0],[12,17,13],[21,26,14],[1,20,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
7,1,2,3,"[0, 0, 0, 1]","[0, 0, 0, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]","[[1,0,0],[2,9,3],[29,26,9],[2,9,3]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
8,2,29,0,"[0, 0, 0, 2]","[1, 0, 0, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[2,9,3],[29,26,9],[2,9,3]]","[[1,0,1],[2,9,3],[29,26,9],[8,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
9,2,11,1,"[0, 0, 0, 2]","[0, 1, 0, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[2,9,3],[29,26,9],[2,9,3]]","[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
10,2,5,2,"[0, 0, 0, 2]","[0, 0, 1, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[2,9,3],[29,26,9],[2,9,3]]","[[1,0,0],[11,15,1],[24,0,10],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
11,2,0,3,"[0, 0, 0, 2]","[0, 0, 0, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[2,9,3],[29,26,9],[2,9,3]]","[[1,0,0],[1,0,0],[1,0,0],[1,0,0]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
12,3,30,0,"[0, 0, 1, 0]","[1, 0, 1, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,1],[30,28,11],[1,0,0]]","[[1,0,1],[1,0,1],[30,28,11],[1,20,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
13,3,12,1,"[0, 0, 1, 0]","[0, 1, 1, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,1],[30,28,11],[1,0,0]]","[[1,20,14],[1,0,1],[29,6,9],[1,0,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
14,3,6,2,"[0, 0, 1, 0]","[0, 0, 2, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,1],[30,28,11],[1,0,0]]","[[1,0,0],[29,0,2],[29,6,9],[1,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
15,3,4,3,"[0, 0, 1, 0]","[0, 0, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[1,0,1],[30,28,11],[1,0,0]]","[[1,0,0],[12,17,13],[21,26,14],[1,20,14]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
16,4,31,0,"[0, 0, 1, 1]","[1, 0, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[12,17,13],[21,26,14],[1,20,14]]","[[1,0,1],[12,17,13],[21,26,14],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
17,4,13,1,"[0, 0, 1, 1]","[0, 1, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[12,17,13],[21,26,14],[1,20,14]]","[[1,20,14],[12,17,13],[24,0,21],[12,17,13]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
18,4,7,2,"[0, 0, 1, 1]","[0, 0, 2, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[12,17,13],[21,26,14],[1,20,14]]","[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
19,4,5,3,"[0, 0, 1, 1]","[0, 0, 1, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[12,17,13],[21,26,14],[1,20,14]]","[[1,0,0],[11,15,1],[24,0,10],[2,9,3]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
20,5,32,0,"[0, 0, 1, 2]","[1, 0, 1, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[11,15,1],[24,0,10],[2,9,3]]","[[1,0,1],[11,15,1],[24,0,10],[8,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
21,5,14,1,"[0, 0, 1, 2]","[0, 1, 1, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[11,15,1],[24,0,10],[2,9,3]]","[[1,20,14],[11,15,1],[22,20,6],[11,15,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
22,5,8,2,"[0, 0, 1, 2]","[0, 0, 2, 2]",invert all source and target factor-frame forms listed,"[[1,0,0],[11,15,1],[24,0,10],[2,9,3]]","[[1,0,0],[14,25,21],[22,20,6],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
23,5,3,3,"[0, 0, 1, 2]","[0, 0, 1, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[11,15,1],[24,0,10],[2,9,3]]","[[1,0,0],[1,0,1],[30,28,11],[1,0,0]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
24,6,33,0,"[0, 0, 2, 0]","[1, 0, 2, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[29,0,2],[29,6,9],[1,0,0]]","[[1,0,1],[29,0,2],[29,6,9],[1,20,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
25,6,15,1,"[0, 0, 2, 0]","[0, 1, 2, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[29,0,2],[29,6,9],[1,0,0]]","[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
26,6,0,2,"[0, 0, 2, 0]","[0, 0, 0, 0]",invert all source and target factor-frame forms listed,"[[1,0,0],[29,0,2],[29,6,9],[1,0,0]]","[[1,0,0],[1,0,0],[1,0,0],[1,0,0]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
27,6,7,3,"[0, 0, 2, 0]","[0, 0, 2, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[29,0,2],[29,6,9],[1,0,0]]","[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
28,7,34,0,"[0, 0, 2, 1]","[1, 0, 2, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]","[[1,0,1],[20,16,1],[24,0,21],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
29,7,16,1,"[0, 0, 2, 1]","[0, 1, 2, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]","[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
30,7,1,2,"[0, 0, 2, 1]","[0, 0, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]","[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
