generator,generator_exponents,artifact_support_slot,source_support,target_support,support_pair_key,support_bindings_sha256
e0,"[1,0,0,0]",s00,"[1,1,5,1]","[2,1,5,16]","[[1,1,5,1],[2,1,5,16]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s01,"[1,2,33,1]","[2,2,33,16]","[[1,2,33,1],[2,2,33,16]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s02,"[1,8,10,15]","[2,8,10,1]","[[1,8,10,15],[2,8,10,1]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s03,"[1,14,28,16]","[2,14,28,15]","[[1,14,28,16],[2,14,28,15]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s04,"[1,15,34,15]","[2,15,34,1]","[[1,15,34,15],[2,15,34,1]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s05,"[1,16,29,16]","[2,16,29,15]","[[1,16,29,16],[2,16,29,15]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s06,"[1,17,6,15]","[2,17,6,1]","[[1,17,6,15],[2,17,6,1]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s07,"[7,1,33,17]","[16,1,33,2]","[[7,1,33,17],[16,1,33,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s08,"[7,2,9,17]","[16,2,9,2]","[[7,2,9,17],[16,2,9,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s09,"[7,7,29,2]","[16,7,29,14]","[[7,7,29,2],[16,7,29,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s10,"[7,8,34,14]","[16,8,34,17]","[[7,8,34,14],[16,8,34,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s11,"[7,15,6,14]","[16,15,6,17]","[[7,15,6,14],[16,15,6,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s12,"[7,16,28,2]","[16,16,28,14]","[[7,16,28,2],[16,16,28,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s13,"[7,17,10,14]","[16,17,10,17]","[[7,17,10,14],[16,17,10,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s14,"[8,8,6,7]","[15,8,6,8]","[[8,8,6,7],[15,8,6,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s15,"[8,15,10,7]","[15,15,10,8]","[[8,15,10,7],[15,15,10,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
