square_id,base_K_index,base_K_exponents,left_generator_index,right_generator_index,left_generator,right_generator,endpoint_K_index,endpoint_K_exponents,left_then_right_edge_job_ids,right_then_left_edge_job_ids,generator_templates_available,common_basis_compositions_emitted,strict_equality_computed,chain_homotopy_emitted,coherence_closed,status
0,0,"[0,0,0,0]",0,1,e0,e1,36,"[1,1,0,0]","[0,109]","[1,36]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
1,0,"[0,0,0,0]",0,2,e0,e2,30,"[1,0,1,0]","[0,110]","[2,12]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
2,0,"[0,0,0,0]",0,3,e0,e3,28,"[1,0,0,1]","[0,111]","[3,4]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
3,0,"[0,0,0,0]",1,2,e1,e2,12,"[0,1,1,0]","[1,38]","[2,13]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
4,0,"[0,0,0,0]",1,3,e1,e3,10,"[0,1,0,1]","[1,39]","[3,5]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
5,0,"[0,0,0,0]",2,3,e2,e3,4,"[0,0,1,1]","[2,15]","[3,6]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
6,1,"[0,0,0,1]",0,1,e0,e1,37,"[1,1,0,1]","[4,113]","[5,40]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
7,1,"[0,0,0,1]",0,2,e0,e2,31,"[1,0,1,1]","[4,114]","[6,16]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
8,1,"[0,0,0,1]",0,3,e0,e3,29,"[1,0,0,2]","[4,115]","[7,8]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
9,1,"[0,0,0,1]",1,2,e1,e2,13,"[0,1,1,1]","[5,42]","[6,17]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
10,1,"[0,0,0,1]",1,3,e1,e3,11,"[0,1,0,2]","[5,43]","[7,9]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
11,1,"[0,0,0,1]",2,3,e2,e3,5,"[0,0,1,2]","[6,19]","[7,10]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
12,2,"[0,0,0,2]",0,1,e0,e1,38,"[1,1,0,2]","[8,117]","[9,44]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
13,2,"[0,0,0,2]",0,2,e0,e2,32,"[1,0,1,2]","[8,118]","[10,20]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
14,2,"[0,0,0,2]",0,3,e0,e3,27,"[1,0,0,0]","[8,119]","[11,0]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
15,2,"[0,0,0,2]",1,2,e1,e2,14,"[0,1,1,2]","[9,46]","[10,21]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
16,2,"[0,0,0,2]",1,3,e1,e3,9,"[0,1,0,0]","[9,47]","[11,1]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITIONS_NOT_EMITTED
