label,theta_index,coefficient_mod_31
0,0000,1
0,0001,30
0,0002,11
0,0010,30
0,0011,15
0,0012,6
0,0020,11
0,0021,6
0,0022,11
0,0100,9
0,0101,12
0,0102,16
0,0110,6
0,0111,8
0,0112,21
0,0120,9
0,0121,12
0,0122,16
0,0200,12
0,0201,30
0,0202,28
0,0210,26
0,0211,12
0,0212,0
0,0220,1
0,0221,9
0,0222,1
0,1000,8
0,1001,26
0,1002,8
0,1010,21
0,1011,14
0,1012,21
0,1020,28
0,1021,29
0,1022,28
0,1100,12
0,1101,8
0,1102,12
0,1110,8
0,1111,26
0,1112,8
0,1120,12
0,1121,8
0,1122,12
0,1200,28
0,1201,29
0,1202,28
0,1210,21
0,1211,14
0,1212,21
0,1220,11
0,1221,28
0,1222,11
0,2000,12
0,2001,26
0,2002,1
0,2010,30
0,2011,12
0,2012,9
0,2020,28
0,2021,0
0,2022,1
0,2100,16
0,2101,12
0,2102,24
0,2110,21
0,2111,8
0,2112,16
0,2120,16
0,2121,12
0,2122,24
0,2200,22
0,2201,23
0,2202,11
0,2210,23
0,2211,13
0,2212,0
0,2220,11
0,2221,0
0,2222,17
1,0000,28
1,0001,19
1,0002,13
1,0010,29
1,0011,23
1,0012,19
1,0020,12
1,0021,8
1,0022,19
1,0100,27
1,0101,26
1,0102,27
1,0110,22
1,0111,12
1,0112,22
1,0120,0
1,0121,0
1,0122,0
1,0200,18
1,0201,12
1,0202,13
1,0210,12
1,0211,8
1,0212,19
1,0220,11
1,0221,13
1,0222,4
1,1000,19
1,1001,23
1,1002,19
1,1010,23
1,1011,5
1,1012,23
1,1020,8
1,1021,26
1,1022,8
1,1100,18
1,1101,12
1,1102,18
1,1110,25
1,1111,27
1,1112,25
1,1120,0
1,1121,0
1,1122,0
1,1200,12
1,1201,8
1,1202,12
1,1210,8
1,1211,26
1,1212,8
1,1220,13
1,1221,19
1,1222,13
1,2000,12
1,2001,23
1,2002,4
1,2010,8
1,2011,5
1,2012,13
1,2020,18
1,2021,12
1,2022,13
1,2100,18
1,2101,0
1,2102,25
1,2110,25
1,2111,0
1,2112,2
1,2120,0
1,2121,0
1,2122,0
1,2200,27
1,2201,18
1,2202,4
1,2210,18
1,2211,12
1,2212,13
1,2220,18
1,2221,19
1,2222,6
2,0000,2
2,0001,22
2,0002,20
2,0010,21
2,0011,14
2,0012,14
2,0020,30
2,0021,20
2,0022,0
2,0100,12
2,0101,8
2,0102,8
2,0110,8
2,0111,26
2,0112,26
2,0120,12
2,0121,8
2,0122,8
2,0200,0
2,0201,0
2,0202,1
2,0210,17
2,0211,1
2,0212,10
2,0220,14
2,0221,30
2,0222,0
2,1000,20
2,1001,14
2,1002,0
2,1010,25
2,1011,2
2,1012,0
2,1020,20
2,1021,14
2,1022,0
2,1100,15
2,1101,26
2,1102,0
2,1110,10
2,1111,7
2,1112,0
2,1120,15
2,1121,26
2,1122,0
2,1200,3
2,1201,30
2,1202,0
2,1210,0
2,1211,0
2,1212,0
2,1220,30
2,1221,21
2,1222,0
2,2000,30
2,2001,20
2,2002,3
2,2010,21
2,2011,14
2,2012,16
2,2020,0
2,2021,0
2,2022,14
2,2100,12
2,2101,8
2,2102,18
2,2110,8
2,2111,26
2,2112,12
2,2120,12
2,2121,8
2,2122,18
2,2200,17
2,2201,1
2,2202,0
2,2210,15
2,2211,10
2,2212,10
2,2220,0
2,2221,0
2,2222,21
3,0000,19
3,0001,20
3,0002,16
3,0010,24
3,0011,12
3,0012,20
3,0020,11
3,0021,2
3,0022,16
3,0100,1
3,0101,22
3,0102,12
3,0110,11
3,0111,25
3,0112,8
3,0120,1
3,0121,22
3,0122,12
3,0200,16
3,0201,26
3,0202,21
3,0210,4
3,0211,9
3,0212,0
3,0220,1
3,0221,3
3,0222,24
3,1000,18
3,1001,12
3,1002,13
3,1010,23
3,1011,5
3,1012,8
3,1020,2
3,1021,22
3,1022,29
3,1100,22
3,1101,25
3,1102,9
3,1110,25
3,1111,27
3,1112,6
3,1120,22
3,1121,25
3,1122,9
3,1200,29
3,1201,9
3,1202,2
3,1210,8
3,1211,26
3,1212,23
3,1220,3
3,1221,2
3,1222,28
3,2000,27
3,2001,29
3,2002,7
3,2010,7
3,2011,9
3,2012,1
3,2020,15
3,2021,2
3,2022,7
3,2100,12
3,2101,9
3,2102,13
3,2110,8
3,2111,6
3,2112,19
3,2120,12
3,2121,9
3,2122,13
3,2200,23
3,2201,28
3,2202,15
3,2210,6
3,2211,29
3,2212,0
3,2220,7
3,2221,3
3,2222,26
4,0000,23
4,0001,4
4,0002,22
4,0010,28
4,0011,20
4,0012,19
4,0020,15
4,0021,11
4,0022,16
4,0100,26
4,0101,14
4,0102,2
4,0110,7
4,0111,30
4,0112,22
4,0120,5
4,0121,17
4,0122,29
4,0200,5
4,0201,4
4,0202,16
4,0210,12
4,0211,8
4,0212,12
4,0220,24
4,0221,30
4,0222,7
4,1000,3
4,1001,2
4,1002,28
4,1010,9
4,1011,6
4,1012,22
4,1020,10
4,1021,17
4,1022,21
4,1100,14
4,1101,30
4,1102,17
4,1110,30
4,1111,20
4,1112,1
4,1120,17
4,1121,1
4,1122,14
4,1200,21
4,1201,14
4,1202,10
4,1210,9
4,1211,6
4,1212,22
4,1220,16
4,1221,21
4,1222,15
4,2000,15
4,2001,24
4,2002,29
4,2010,16
4,2011,23
4,2012,18
4,2020,21
4,2021,0
4,2022,7
